Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
12,Syracuse,116.1,92.9,0.929,4–2,4,6,48.8,47.6,33.6,20.3,17.1,19,37.3,35.5,63.2,44.5,46,37.8,33.6,17.4,12.7,44.8,62.1,35.1,35.8,64.9,78.621,80.191,1.713,"2,016",2.9,3.379,88.863,,71.9,64.8,1.088,0.996,47.526,Syracuse
13,Texas A&M,108.8,87.5,0.925,4–2,4,6,47.8,45.6,35.5,32.1,17.5,18.6,35.4,26.2,70.1,51.4,43.7,27.8,32.1,10.7,10.5,43.7,52.1,36.8,42,68.8,78.219,80.689,1.815,"2,016",0.2,0.136,69.544,,66.9,65.5,1.046,0.932,40.2,Texas A&M
14,Xavier,115.6,93.1,0.923,2–2,2,4,49.6,47,25.7,35.3,16,19.5,36.6,26.3,71.8,47.5,52,36,25.3,5.9,8.4,50,48,32.5,35.3,72.6,77.888,80.569,1.534,"2,016",-1,-1.371,65.075,,64.7,68.7,1.068,0.967,31.016,Xavier
15,Hawaii,108,87.2,0.921,4–1,4,5,50.4,42.5,40.8,38.9,16.5,18.5,26.6,23.4,70.1,52.2,50.8,31.3,18.2,8.8,7.5,53.5,43.6,34,35.4,70.3,77.367,80.763,2.152,"2,016",0.4,0.75,15.446,,69.6,74.3,1.038,0.91,28.375,Hawaii
16,Michigan St.,122.6,99.2,0.92,3–1,3,4,54.6,48,23.2,33.3,17.7,13.7,34.9,26.1,63.7,51.1,46.5,40.2,34.3,9.7,11.3,62.6,45.3,38.2,30.2,64.3,77.182,80.048,1.818,"2,016",-2.3,-2.371,59.574,,81.1,73,1.147,1.048,35.742,Michigan St.
17,Baylor,113.6,92.5,0.914,1–2,1,3,47,49.7,34.2,47.2,16.7,18.6,32.5,28,69.8,47.3,52.2,30.9,29.2,9.7,8.5,43.6,63,29.9,29.8,71.2,76.784,80.2,1.878,"2,016",-1.1,-1.114,48.262,,68.3,65.8,1.031,1.002,48.919,Baylor
18,Iowa St.,119.9,97.7,0.913,2–2,2,4,59.2,51.5,28.3,34.9,16,14.3,18,23.2,71.7,55.1,56.1,44.2,28.4,7,9.5,51.3,49.5,36.9,34,73.7,77.43,79.856,2.427,"2,016",0.5,0.464,63.044,,65.2,72.3,1.112,1.063,45.154,Iowa St.
19,Maryland,119.9,97.8,0.912,3–2,3,5,53.1,47.6,46.5,26.7,15.8,15.5,23.7,32.8,67.1,56,46,32.7,33.6,10,8.7,46.7,46.1,42.3,34.9,66.9,79.102,82.268,1.774,"2,016",0.7,0.886,87.245,,80.2,86.6,1.111,1.081,42.585,Maryland
20,Saint Joseph's,124,101.2,0.912,4–1,4,5,55.1,51.6,42,26.8,14.3,15.1,25.6,25.6,70,56.1,52,35.3,34.1,7.3,12.6,45.4,49.3,30,42.2,70.9,76.953,79.218,1.79,"2,016",0.2,0.3,41.08,,71.4,75.6,1.134,1.079,41.769,Saint Joseph's
21,Wichita St.,100.5,82.3,0.909,3–2,3,5,41.8,46,34.4,38.5,15.6,20.5,28,19.5,64.1,44,44.1,25.2,32.6,13.8,9.9,47.2,41.8,36.1,38.5,66.2,77.002,80.021,1.873,"2,016",-0.2,0.393,27.563,,73.5,61.1,0.947,0.871,39.514,Wichita St.
22,Northern Iowa,112.2,92.1,0.906,4–1,4,5,50.2,44.5,45.5,31.9,13.7,16.1,13.3,30.3,62.2,50,51.1,33.6,22.9,8.9,11.3,35.8,40.3,44.3,39.6,63,76.842,79.442,2.207,"2,016",0.4,0.393,36.74,,74.1,68.4,1.019,0.983,37.324,Northern Iowa
23,USC,120.6,99.1,0.905,1–2,1,3,53.8,52.2,27.4,23.8,16.4,13,32.4,21.7,69.1,48.9,49.1,43.6,38.5,9.5,10.7,44.3,64.6,29.6,35.9,69.3,78.528,82.316,1.247,"2,016",-0.6,-0.7,72.171,,70.6,74.4,1.138,1.066,35.375,USC
24,Providence,116.2,95.5,0.905,2–2,2,4,52.7,54.6,27.9,24.8,14.5,19.1,23,33.6,65.4,51.5,51.6,36.2,41.5,8.1,6.8,52.9,48.2,41.6,28.8,64.7,77.805,80.423,1.133,"2,016",0.3,0.4,59.887,,63.5,76.8,1.062,1.108,56.705,Providence
25,Connecticut,117.1,96.4,0.904,4–1,4,5,49.5,44.9,31.7,41.1,12.7,14.4,24.3,30.8,65,44.3,44.7,39.8,30.3,13.5,11.3,49.6,44.7,33.7,29.3,64.8,77.999,80.969,1.968,"2,016",0,0.4,72.327,,87.6,67.2,1.095,1.008,38.767,Connecticut
26,West Virginia,112,92.8,0.897,2–2,2,4,48.4,49,41.3,58.1,26,22.1,39.9,29.5,70.2,47.3,40.8,33.8,41,11.7,10.3,52.6,56.8,34.5,39.4,69.4,77.299,80.627,1.724,"2,016",-1.5,-1.864,46.477,,71.7,78.3,1.005,1.012,45.928,West Virginia
27,VCU,116.5,97.1,0.89,3–2,3,5,49.5,51.4,31.3,36.1,13.5,13.5,32.6,20.6,69.8,54.8,55.3,27.3,28.4,9.6,10.6,44.4,48.5,37.8,30.9,68.4,76.701,79.253,2.092,"2,016",-0.1,0.379,38.015,,74,68,1.12,1.039,31.891,VCU
28,Indiana,122.9,102.8,0.886,2–2,2,4,57.2,52.1,39.9,36.8,18.7,18,36.4,33.6,69.4,56.5,53.8,38.8,32.4,10.6,8.7,55.9,50,38.1,31.6,70.1,77.368,80.228,1.749,"2,016",0.5,0.886,68.041,,80.9,81.4,1.178,1.131,45.968,Indiana
29,Miami FL,123.5,103.3,0.886,3–2,3,5,59.8,52.6,51.3,40.8,20.5,17.1,22.4,31,66.5,54.3,50.3,48.6,38.6,8.5,3,43.1,43.3,29.9,30.5,67.8,77.696,81.429,2.218,"2,016",0.5,0.136,66.635,,74.2,81.1,1.11,1.131,49.776,Miami FL
