,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
42,Virginia Tech,120.2,106.2,0.806,0–2,0,2,55.7,57.3,25.4,50.5,17.7,20.6,27.4,33.9,67.9,57.6,57.1,35.4,38.3,3.6,7.6,52.7,64,42.1,45.6,69,76.79,78.86,1.785,"2,018",-0.72,-0.7,75.538,,72.4,75,1.09,1.157,33.182,Virginia Tech
43,UCLA,105.7,94,0.794,1–2,1,3,50.8,47.5,18.2,35,16.8,12.1,22,22.5,69,49.5,48.3,34.8,30.8,6.8,5.3,49.4,33.8,49.2,35.5,68.1,78.806,83.033,1.437,"2,018",0,0,78.711,,67.6,71.9,0.992,1.024,28.883,UCLA
44,Texas,114.8,102.5,0.786,1–2,1,3,50.3,57,26.2,27.3,12.9,16.8,31.6,26,64.5,48.2,53.2,35.6,42.6,8.1,11.4,44.4,55.3,39,35.5,64.5,77.743,81.515,0.957,"2,018",-0.672,-0.621,74.625,,65.3,59.6,1.09,1.11,38.153,Texas
45,Wichita St.,118.4,106,0.781,1–2,1,3,50,54.8,46.9,44,18.3,13.1,37.1,19.4,71,50.5,48.5,32.9,43.1,2.9,8.6,60.5,41,40,38.7,69.3,77.803,80.401,2.303,"2,018",-1.236,-1.536,38.199,,76.8,74.3,1.117,1.122,30.414,Wichita St.
46,Lipscomb,110.4,99,0.778,3–1,3,4,56,52.3,37.8,35.3,17.4,23.5,20,30.6,77.6,56.7,51.5,36.8,35.5,8.2,8.7,69.3,49.5,47.3,44.4,75.4,77.268,79.89,1.601,"2,018",-0.075,-0.064,5.68,,76.9,74.1,1.096,1.015,20.41,Lipscomb
47,TCU,101.9,91.4,0.777,0–2,0,2,48,44.2,30.4,28.3,20.9,14,21.2,25.4,60.7,50,48.8,29.4,20.7,7.1,13.2,63.6,42.6,33.3,25.7,64.7,78.077,81.049,2.036,"2,018",-0.913,-1.079,29.047,,58.1,71.9,0.899,0.954,37.814,TCU
48,Arkansas,117.6,106.2,0.764,2–2,2,4,46.7,55.5,47.7,27.2,14.1,19.8,27.9,35.1,65.6,45,48.4,33.8,43,12.5,8.1,41.6,54.3,30.4,43.9,66.3,77.141,80.622,2.109,"2,018",-0.567,-0.907,39.343,,75.5,74.2,1.055,1.139,46.926,Arkansas
49,UNC Greensboro,96.9,87.7,0.759,3–1,3,4,46.2,41.9,22.9,30.4,18.2,19,34,26.4,64.6,52.2,46,25.5,25,12.4,5.2,37.5,44.9,43.2,47.9,63.1,77.161,80.834,1.785,"2,018",-0.249,-0.25,0.208,,66.7,69.7,0.983,0.882,21.652,UNC Greensboro
50,New Mexico St.,110.9,100.9,0.748,3–1,3,4,51.2,48.9,39,28.7,16.5,15.5,32.9,18.2,72.5,42.6,47.9,43.6,34.3,6.6,9,47.7,31.7,37.8,29.5,72.2,75.443,78.884,2.012,"2,018",-0.413,-0.514,16.867,,68,79.4,1.106,0.986,19.167,New Mexico St.
51,Nevada,118.5,108.7,0.73,3–2,3,5,51.9,52.1,25.1,32.3,10.1,17.3,23.2,36.8,67.6,52.9,51.2,33.6,36,11.3,9.1,51.4,49.3,40.6,33,68.4,78.302,79.07,2.161,"2,018",1.217,1.093,57.081,,69.6,74.5,1.104,1.124,41.706,Nevada
52,Rhode Island,109.5,101.9,0.696,3–2,3,5,48.8,52.4,28.2,35.8,14,18.3,31.4,30.4,68.1,40.5,51.1,41.5,36.7,7.4,7,61.4,50.4,38.1,34,66.3,75.66,78.342,2.171,"2,018",0.399,0.093,56.579,,58.2,72.8,1.054,1.08,34.226,Rhode Island
53,Montana,110,102.9,0.683,3–1,3,4,51.3,55.1,35.1,29.3,14.3,17.2,27.1,20.5,67.6,48.4,51.4,41.2,41.6,7.4,3.2,33.9,41.7,21.3,34.2,67.1,76.629,79.637,1.738,"2,018",-0.195,-0.164,16.392,,70.2,65.2,1.089,1.043,25.093,Montana
54,College of Charleston,102.2,96.1,0.67,3–1,3,4,53.5,51.3,29.1,27.8,17.1,18.9,23.8,23,66.9,54.7,50.8,34.4,34.7,9.8,13.1,41.5,51,39.6,41.9,65.6,76.811,79.63,2.061,"2,018",-0.229,-0.25,4.156,,71.2,58.7,1.052,0.98,18.456,College of Charleston
55,St. Bonaventure,107.8,101.6,0.664,2–2,2,4,50.5,56.2,41.6,29.2,15.2,18.2,24.4,23.3,67.3,53,51.5,31,40,10.1,7.6,51.5,69.7,39.7,54.8,68,76.517,78.956,2.209,"2,018",-0.379,-0.607,5.279,,64.8,75,1.04,1.092,31.678,St. Bonaventure
56,Cal St. Fullerton,95,90.7,0.63,3–1,3,4,47.1,40.9,39.7,36.2,19.1,16.5,16.9,29.1,68.1,50.3,34.5,25.5,37.1,8.5,8.7,51.7,39.8,27,29.8,68.1,76.687,78.659,1.488,"2,018",-0.074,-0.064,0.2,,71.6,74.1,0.918,0.936,24.847,Cal St. Fullerton
57,Creighton,100.1,95.9,0.621,0–2,0,2,43.7,47,18.1,48.7,18.5,15.7,29.6,27.7,66,47.1,44.6,26.3,34.1,13.5,11.4,58.3,42.6,44.9,35.7,68.1,77.285,80.214,1.695,"2,018",-0.764,-0.7,48.746,,69.6,58.9,0.905,1.005,35.456,Creighton
58,Iona,108.7,104.2,0.619,3–1,3,4,48.6,51,42.1,26,12.5,20.1,21.5,34.5,68.3,50,48.6,30.9,36.5,6.8,8.6,52.6,50.9,36.7,39.7,69.2,75.88,78.997,2.223,"2,018",-0.054,-0.064,0.2,,77.4,55.6,1.051,1.033,22.519,Iona
59,Oklahoma,101.6,97.5,0.616,0–2,0,2,45.3,46.8,28.3,22,17.7,15.7,26.5,35.9,69.2,47.5,37.9,27.7,40.7,10.3,10,43.1,50.9,37,38.3,68.8,77.895,81.034,1.253,"2,018",-0.645,-0.621,70.869,,63.9,71,0.939,1.048,34.63,Oklahoma
60,Arizona St.,120.1,115.3,0.615,0–2,0,2,54.8,56.8,27,38.7,10.8,13.8,20.5,28.6,65,52.9,47.1,37.5,48.8,10,7.8,66.7,56.6,55.7,36.9,67.8,76.215,80.009,1.795,"2,018",0,0,53.908,,48.4,72.1,1.084,1.207,26.585,Arizona St.
61,Wright St.,101.2,97.2,0.614,3–1,3,4,45.5,45.7,30.8,21.6,14,16.2,27,23.1,66.2,44.6,45.4,31.4,30.8,5,8.8,53.8,43.5,36.8,39.2,66.8,76.807,80.331,1.455,"2,018",-0.121,-0.164,0.375,,75,86,1.008,0.962,17.819,Wright St.
62,North Carolina St.,118.3,116,0.556,0–2,0,2,58.4,55.2,33.6,46.4,15,11.6,25.7,34.3,73.4,54.1,57.8,43.1,33.3,3.6,4.1,50,50,40.8,33.6,71.9,76.427,80.511,1.734,"2,018",-0.598,-0.6,43.838,,57.1,81,1.158,1.261,35.693,North Carolina St.
63,Texas Southern,104.9,103.2,0.547,4–1,4,5,53.4,45.2,50.4,33.9,17.3,16.8,28.6,34.4,73.9,49.7,45.3,39.4,29.9,11.4,11.7,57,48.5,38.9,29.1,73.3,75.756,80.045,2.025,"2,018",-0.042,-0.007,30.177,,78,58.4,1.107,0.994,13.036,Texas Southern
64,LIU Brooklyn,98.3,98,0.509,3–1,3,4,50.9,41.5,37.1,30.9,18.8,18.5,27.3,33.1,69,51.5,42.9,33.3,25.9,7.5,4.5,50,52.7,39.4,34.6,69.9,75.202,78.642,1.875,"2,018",0,0,14.561,,70.7,72.4,1.025,0.938,6.269,LIU Brooklyn
65,Missouri,93.4,93.8,0.488,0–2,0,2,40.7,47.1,29.2,49,17.4,14.4,24.1,21.9,66,34.4,43.1,32.7,35.9,9.2,14.1,47.4,57.1,43.4,37.5,66.3,77.943,81.238,1.805,"2,018",-0.665,-0.7,45.402,,66.7,60.8,0.864,0.978,35.938,Missouri
66,Radford,97.7,99.8,0.439,4–1,4,5,43.5,54,38.8,25.1,15.3,23.4,27.8,23.4,61.5,40.2,53.7,33,36.2,8.1,7.7,48.5,60.2,35.7,48.5,61,74.782,78.29,1.584,"2,018",-0.029,-0.007,1.613,,76.5,78.3,0.998,0.992,19.691,Radford
67,Auburn,90.5,95.7,0.345,1–2,1,3,36.4,54.6,36.9,40.9,12.9,19.8,20.7,24.2,72.4,38.8,58.5,22.5,32.9,11.7,6.1,44.8,53.8,47.6,42.7,74.4,75.841,79.021,1.241,"2,018",-0.416,-0.536,58.941,,60.9,65.7,0.819,1.026,31.11,Auburn
68,North Carolina Central,87.1,97.1,0.223,4–1,4,5,43.8,40.7,27,31.1,21.7,19.6,37.8,29.5,67.3,47.3,42,23.6,25.9,7.5,9.7,62.2,53.9,30.1,39.2,63.8,76.233,79.629,1.717,"2,018",0,0,4.118,,68.8,76.4,0.933,0.894,2.861,North Carolina Central
