,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
39,Michigan St.,109.3,95,0.834,18–13,18,31,54.3,46.8,33.8,34.9,20.8,16.1,28.6,27.4,68.5,52.6,44,38.1,34.9,12.2,8.7,66.1,55.1,37.4,33.2,68.6,75.953,78.605,1.115,"2,017",0.31,0.4,70.413,,66.3,71.9,1.046,1.004,33.606,Michigan St.
40,Virginia Tech,116.1,101.4,0.826,21–9,21,30,57.2,51,39.6,26.4,17.3,16.9,23.1,29.4,69.9,54.9,49.2,40.5,36.2,7.3,11.5,55.8,49.6,39.6,35.7,70.2,76.574,78.897,1.923,"2,017",-0.38,-0.6,67.076,,73,70.3,1.122,1.05,31.205,Virginia Tech
41,Rhode Island,108.8,95.3,0.821,21–9,21,30,50.1,45.3,39.1,46.4,16.6,19.9,33.6,29.1,67.5,50.5,45.8,32.8,29.4,16.8,8.2,51,46.7,31.8,29.8,68,77.065,79.822,1.795,"2,017",0.34,0.393,64.496,,65.6,70.4,1.078,0.961,19.644,Rhode Island
42,Middle Tennessee,109.5,96.1,0.818,26–4,26,30,54,47.9,28.5,38.3,15.9,20.1,30.2,23.5,65.8,53.5,47.3,36.7,32.5,8.4,5.8,53.5,49.2,30.3,35.3,65.5,76.761,80.21,2.099,"2,017",0.26,0.486,17.718,,70,70.8,1.11,0.955,12.475,Middle Tennessee
43,Arkansas,116.2,102.1,0.816,23–8,23,31,52,48.6,39.9,40,16.4,18.2,33.1,33.3,71.4,50.6,47.4,36.9,33.7,12.6,7.4,51.2,51.1,30,37.1,70.9,76.937,80.513,2.269,"2,017",0.22,0.3,36.848,,75.9,69.6,1.129,1.039,27.301,Arkansas
44,Providence,108.1,95,0.815,20–11,20,31,51.5,49.8,37.8,29,18.1,20.6,26.6,28.3,67.5,48.9,49.9,37.4,33.1,8.2,8.3,58.8,48.9,35.7,34.2,67.7,77.634,79.867,1.474,"2,017",0,0,55.541,,69.7,67.7,1.042,0.981,29.126,Providence
45,VCU,107.8,95.4,0.803,24–7,24,31,51.6,47,36.4,40.2,18.3,21.6,30.8,28.1,69.2,52.5,45.7,33.1,33.4,10.9,9.1,57.1,45.8,30.5,31.1,70.2,76.401,78.871,2.26,"2,017",-0.45,-0.621,42.055,,71.1,68.7,1.068,0.945,18.332,VCU
46,Seton Hall,108.5,96.5,0.794,20–10,20,30,50.4,49,38.5,36.4,19.4,17.6,35.2,25.5,69.2,50.5,48.2,33.5,33.7,6.4,7.8,46.7,49.9,31.3,33.5,69.1,77.608,80.545,1.777,"2,017",-0.56,-0.6,55.205,,63.5,71.6,1.052,1.007,30.958,Seton Hall
47,UNC Wilmington,115.9,103.4,0.788,24–5,24,29,54.5,52.4,28.9,39.5,13.8,20.7,32.5,29.4,70.2,55.7,53.4,35.2,33.3,8.3,7.3,51.2,47.7,42,28.7,71.4,75.533,78.114,2.068,"2,017",-0.33,-0.514,5.2,,68.3,70.7,1.167,1.04,13.835,UNC Wilmington
48,Princeton,107.8,96.3,0.785,20–6,20,26,53.8,49.2,24.3,32.7,15.4,20.9,23.9,24.2,65,50.8,47.3,38.2,34.9,9.8,8.5,54,48.5,46.6,37,64.6,76.812,79.201,2.006,"2,017",-0.45,-0.514,8.705,,73.3,69.9,1.088,0.955,13.348,Princeton
