Rk_x,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Rk_y
59,Mississippi St.,94.5,91.5,0.592,1–1,1,2,36.5,48.4,36.1,20.2,22.5,16.2,37.2,29.1,66.7,42.1,54.4,11.1,29.2,12.3,10.5,48.8,65.4,22.1,55.8,63.2,77.889,81.33,2.469,2015,0.0,0.0,32.142,65.9,57.7,0.83,0.985,48.968,
60,Kansas St.,105.5,102.4,0.585,0–1,0,1,50.0,48.5,27.3,31.3,28.0,12.6,35.5,31.8,71.6,68.0,38.1,23.3,44.0,14.3,20.0,50.0,63.0,54.5,37.3,68.9,76.288,80.88,2.51,2015,0.0,0.0,47.815,80.0,71.4,0.936,1.118,44.143,
61,Texas A&M Corpus Chris,110.5,108.6,0.55,2–0,2,2,54.5,43.9,22.0,27.9,13.1,17.0,36.4,39.0,64.7,52.1,42.5,41.4,31.4,3.4,4.3,50.8,39.6,23.6,28.7,65.6,75.034,78.224,2.728,2015,0.0,0.0,3.817,77.8,79.4,1.197,1.035,4.416,
62,Nevada,112.7,111.2,0.538,0–1,0,1,44.2,53.8,46.7,26.2,12.9,8.6,35.0,22.2,61.9,45.7,65.0,28.0,24.0,15.0,17.1,65.2,50.0,41.7,38.5,66.5,78.561,80.663,1.742,2015,0.0,0.0,35.605,85.7,64.7,1.105,1.162,20.318,
63,Southeast Missouri St.,102.4,102.6,0.494,4–0,4,4,48.4,44.8,44.8,39.8,15.0,17.3,31.0,27.0,73.0,46.9,46.4,34.7,27.7,7.8,9.7,45.4,41.0,30.0,33.3,73.3,76.042,79.11,1.873,2015,0.0,0.0,2.181,77.7,65.7,1.094,0.958,4.313,
64,Fairleigh Dickinson,110.2,111.6,0.464,2–1,2,3,50.8,48.2,25.1,27.7,14.6,16.7,38.9,27.2,63.8,48.1,48.1,38.5,32.3,4.8,9.9,56.6,54.3,28.4,37.3,64.3,73.372,77.074,1.939,2015,0.0,0.0,0.2,71.7,69.6,1.144,1.003,2.751,
65,Michigan St.,100.0,102.0,0.443,0–1,0,1,40.9,53.6,32.7,21.4,13.3,8.3,28.6,24.2,60.1,46.2,40.5,18.8,52.6,16.2,20.5,42.9,60.0,29.1,33.9,61.2,77.73,81.017,1.988,2015,0.0,0.0,70.79,72.2,66.7,0.965,1.131,33.111,9.0
66,UNC Asheville,100.7,102.9,0.438,3–0,3,3,48.5,47.4,51.5,15.8,13.8,11.3,25.5,21.9,67.7,47.9,47.5,32.8,31.4,10.8,10.4,44.1,38.0,41.1,36.8,69.1,77.241,80.264,2.722,2015,0.0,0.0,10.637,71.4,70.0,1.073,0.99,4.925,
67,Pittsburgh,122.5,125.9,0.422,1–1,1,2,55.1,60.9,45.8,29.8,14.0,11.8,25.9,31.3,68.0,56.2,64.4,35.3,37.3,5.5,5.5,54.7,65.2,31.8,41.1,69.3,77.406,81.297,2.253,2015,0.0,0.0,25.827,81.6,70.3,1.162,1.302,28.96,
68,USC,107.2,110.8,0.406,0–1,0,1,49.1,50.8,43.6,47.5,19.8,15.5,28.6,35.0,70.9,44.1,33.3,38.1,43.8,3.7,8.8,39.1,65.2,38.2,54.2,69.7,78.99,81.803,1.661,2015,0.0,0.0,71.61,75.0,60.7,1.016,1.087,28.852,
1,Villanova,123.975,91.962,0.969,35–5,35,40,56.1,46.7,34.1,30.0,16.3,20.6,28.2,29.4,67.2,57.4,44.1,36.2,33.9,9.7,6.8,58.7,56.3,42.7,37.4,65.757,77.358,80.028,1.709,2016,2.7,3.629,81.555,78.2,66.2,1.157,0.943,34.097,1.0
2,Kansas,121.6,91.388,0.964,32–5,32,37,55.7,45.1,38.6,37.3,17.8,18.5,32.2,27.9,69.3,52.7,43.4,41.3,32.5,10.5,8.6,54.7,47.5,32.8,32.5,69.241,77.281,80.733,1.863,2016,0.0,-0.35,80.776,71.3,72.3,1.141,0.961,36.432,2.0
3,Virginia,120.778,92.138,0.957,29–8,29,37,54.8,48.4,32.1,33.4,15.1,18.8,29.9,25.2,61.5,52.6,46.3,40.3,34.7,10.2,5.9,57.2,47.6,28.3,36.7,60.945,77.777,80.253,1.985,2016,-0.1,-0.35,74.302,75.2,70.2,1.151,0.974,36.242,4.0
